Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Sory Sangare,SUNY Morrisville,men,d3,1,17,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sota Nakazono,UIC,men,d1,1,74,0,1,0,0,0,0,0,0,0,D,Defender,1
Spencer Evenson,George Fox,men,d3,1,36,0,0,0,0,0,0,0,0,0,F,Forward,0
Spencer Ford,Northwestern-St. Paul,men,d3,1,78,0,0,0,0,0,0,0,0,0,D,Defender,0
Spencer Forgan,Bridgewater St.,men,d3,1,11,0,0,0,0,0,0,0,0,0,D,Defender,0
Spencer Hanks,UMBC,men,d1,1,29,0,0,0,0,0,0,0,0,1,F,Forward,0
Spencer Hernandez,Old Westbury,men,d3,1,30,0,0,0,0,0,0,0,0,0,D,Defender,0
Spencer Mix,Williams,men,d3,1,54,0,0,1,0,0,0,0,0,0,null,Unknown,0
Spencer Pisani,Misericordia,men,d3,1,72,0,0,0,0,0,0,0,0,0,D,Defender,0
Spencer Powe,Detroit Mercy,men,d1,1,12,0,0,0,0,0,0,0,0,0,D,Defender,0
Spencer Taylor,Central (IA),men,d3,1,61,0,0,0,0,0,0,0,0,1,D,Defender,0
Stan Klaver,IU Indy,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Stanlee Etienne,Oglethorpe,men,d3,1,51,0,1,0,0,0,0,0,0,0,F,Forward,1
Steban Lopera,Providence,men,d1,1,40,0,0,0,0,0,0,0,0,0,D,Defender,0
Stefan Bilinac,Omaha,men,d1,1,36,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Stefan Dobrijevic,Akron,men,d1,1,70,0,1,5,0,0,0,0,0,1,F,Forward,1
Stefan Simmons,Thomas (ME),men,d3,1,9,0,0,0,0,0,0,0,0,0,null,Unknown,0
Stefano D'Agostini,Brown,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Stefano Moraccini,Aquinas,men,d3,1,56,0,0,1,0,0,0,0,0,4,null,Unknown,0
Stephan Moreira,San Diego St.,men,d1,1,68,0,0,2,1,0,0,0,0,1,M,Midfielder,0
Stephane Fevry,Salem St.,men,d3,1,41,0,0,2,2,0,0,0,0,0,D,Defender,0
Stephane Njike,Maryland,men,d1,1,58,0,0,5,2,0,0,0,0,1,F,Forward,0
Stephen Christner,Lancaster Bible,men,d3,2,17,0,0,1,0,0,0,0,0,0,D,Defender,0
Stephen Contreras,Mitchell,men,d3,2,171,0,0,1,1,1,0,0,0,1,M,Midfielder,0
Stephen Mclamb,Houghton,men,d3,1,43,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Stephen Saladin,Bradley,men,d1,1,44,0,0,2,2,0,0,0,0,0,F,Forward,0
Stephen Wietzke,Martin Luther,men,d3,1,61,0,0,0,0,0,0,0,0,0,D,Defender,0
Stephon Barclay,Old Westbury,men,d3,1,86,0,0,1,0,0,0,0,0,4,M,Midfielder,0
Sterling Segal,Ohio Northern,men,d3,1,39,0,0,0,0,0,0,0,0,0,D,Defender,0
Steve Berrodin,DeSales,men,d3,1,12,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Steven Floyd,Methodist,men,d3,1,53,0,1,1,0,0,0,0,0,0,F,Forward,1
Steven Griffith,North Central (MN),men,d3,1,63,0,0,0,0,0,0,0,0,1,F,Forward,0
Steven Ramirez,San Diego,men,d1,1,31,1,0,2,2,0,0,0,0,0,F,Forward,2
Steven Silva,Goucher,men,d3,1,38,0,0,0,0,0,0,0,0,0,D,Defender,0
Steven Vela,Northwestern-St. Paul,men,d3,1,21,0,0,1,0,0,0,0,0,0,D,Defender,0
Stian Bendvold,Col. of Charleston,men,d1,1,68,0,1,0,0,0,0,0,0,0,F,Forward,1
Stokes Mcconnell,Sewanee,men,d3,1,43,0,0,2,0,0,0,0,0,0,F,Forward,0
Stone Chun,Chatham,men,d3,1,7,0,0,0,0,0,0,0,0,0,D,Defender,0
Storm De Jong,JWU (Providence),men,d3,1,52,0,0,1,0,0,0,0,0,0,null,Unknown,0
Storm Schmidt Hollensted,Iona,men,d1,1,90,0,0,2,1,1,0,0,0,0,M,Midfielder,0
Sullivan Twill,Robert Morris,men,d1,1,32,0,0,1,1,1,0,0,0,0,F,Forward,0
Sumner Nenninger,Elon,men,d1,1,18,1,0,2,1,0,0,0,0,1,M,Midfielder,2
Surafel Abebe,Saint Mary's (CA),men,d1,1,4,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sven Meacham,Yale,men,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Sven Oberg,Wis.-Stout,men,d3,1,32,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sylver Godines,Gordon,men,d3,1,53,0,0,1,0,0,0,0,0,2,F,Forward,0
Sylvester Doe,Hamline,men,d3,1,30,0,1,1,0,1,0,0,0,0,F,Forward,1
Syrus Francoeur-Gladle,SUNY Canton,men,d3,1,12,0,0,0,0,0,0,0,0,0,F,Forward,0
Szymon Kielar,Marian (WI),men,d3,1,25,0,0,0,0,0,0,0,0,0,F,Forward,0
T'Syi Showers,Thomas (ME),men,d3,1,47,0,0,0,0,1,0,0,0,0,f,Forward,0
Tadhg Thompson,Cornell College,men,d3,1,70,0,0,3,1,0,0,0,0,2,M,Midfielder,0
Taeven Genovese,Hiram,men,d3,1,67,0,1,0,0,0,0,0,0,0,M,Midfielder,1
Tai Innerarity,Merchant Marine,men,d3,1,10,0,0,0,0,0,0,0,0,0,null,Unknown,0
Taiga Matoba,Quinnipiac,men,d1,1,60,0,0,0,0,1,0,0,0,1,null,Unknown,0
Taisei Nagayama,Oswego St.,men,d3,1,6,0,0,0,0,0,0,0,0,0,D,Defender,0
Tait Mccain,Arlington Baptist,men,d3,1,90,1,0,1,1,1,0,0,0,0,null,Unknown,2
Taj Eagleston,San Diego,men,d1,1,36,0,0,0,0,1,0,0,0,0,M,Midfielder,0
Tajay Ellis,Oswego St.,men,d3,1,57,0,0,0,0,0,0,0,0,0,F,Forward,0
Takeru Chiba,Omaha,men,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Taku Takahashi,American,men,d1,1,77,0,0,0,0,0,0,0,0,3,D,Defender,0
Takumi Kumakura,Rhode Island,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Takuto Nishide,FDU,men,d1,1,66,0,1,3,2,0,0,0,0,0,null,Unknown,1
Talan Aibejeris,Huntingdon,men,d3,1,32,0,0,0,0,0,0,0,0,0,F,Forward,0
Talan Bruce,Shenandoah,men,d3,1,24,0,0,0,0,0,0,0,0,0,F,Forward,0
Talen Popolis,York (PA),men,d3,1,17,0,0,0,0,0,0,0,0,0,F,Forward,0
Talon Loving,Crown (MN),men,d3,1,19,0,0,0,0,0,0,0,0,0,D,Defender,0
Talon Wagner,George Fox,men,d3,1,25,0,0,0,0,0,0,0,0,0,D,Defender,0
Tamir Ratoviz,UCLA,men,d1,1,59,0,0,2,0,0,0,0,0,0,M,Midfielder,0
Tamirat Soloman,Sarah Lawrence,men,d3,1,4,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Tannar Beermann,Wilmington (OH),men,d3,1,15,0,0,0,0,0,0,0,0,0,F,Forward,0
Tanner Calzado,Salisbury,men,d3,1,32,0,0,2,1,0,0,0,0,1,M,Midfielder,0
Tanner Cummings,Hartwick,men,d3,1,19,0,0,0,0,0,0,0,0,0,D,Defender,0
Tanner Keenan,Rivier,men,d3,1,24,0,0,0,0,0,0,0,0,0,F,Forward,0
Tanner Locke,Ohio Northern,men,d3,1,44,0,0,0,0,0,0,0,0,0,D,Defender,0
Tannor Wiszneski,York (PA),men,d3,1,31,0,0,0,0,1,0,0,0,1,F,Forward,0
